BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
crested_newt.nlogo,,,,,,,,,,,,
experiment,,,,,,,,,,,,
09/23/2021 21:47:03:176 +0200,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,399,0,399,,,,,,,,,
[run number],capacity,mean-juvenile-mortality-prob,mortality-decrease-with-buffer,number-of-startind,movement-energy,cropland-movement-cost,woodland-movement-cost,mean-number-of-female-offspring,scenario,mean-adult-mortality-prob,[step],count turtles
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,47,43
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,44,63
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,69
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,46,50
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,59
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,55
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,39,48
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,48,46
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,45,77
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,77
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,54
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,39,62
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,47,53
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,56
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,40,60
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,49,46
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,35,60
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,48,62
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,41,72
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,68
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,40,70
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,34,74
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,46,75
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,50,43
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,49,63
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,36,53
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,38,71
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,51,44
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,37,62
