"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"159","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","61","47","3","3","7","7"
"157","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","78","80","10","13","7","7"
"164","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","60","34","0","13","4","6"
"160","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","4","700","false","true","5","0.2","99","54","62","10","10","7","5"
"161","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","44","21","0","2","5","7"
"163","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","54","44","0","5","4","7"
"165","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","54","44","7","11","6","5"
"166","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","31","56","12","7","7","6"
"170","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","41","41","6","6","5","6"
"172","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","51","26","3","11","5","6"
"167","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","78","37","0","12","4","7"
"168","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","57","42","12","10","6","7"
"169","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","71","42","13","11","5","7"
"173","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","49","54","9","3","6","7"
"171","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","69","29","4","9","5","7"
"174","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","52","49","9","11","6","6"
"175","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","57","45","9","14","7","5"
"176","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","63","38","1","8","7","6"
"177","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","43","59","1","10","7","5"
"179","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","43","35","10","11","6","4"
"178","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","22","18","0","0","3","3"
"180","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","1","700","false","true","5","0.2","99","45","34","5","7","6","6"
"181","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","36","64","9","5","7","5"
"184","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","44","36","12","0","5","5"
"182","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","81","47","1","14","6","7"
"186","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","58","51","12","11","7","6"
"185","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","54","59","1","5","7","7"
"187","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","53","54","1","0","7","6"
"183","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","64","65","4","14","7","7"
"189","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","50","61","11","5","7","6"
"188","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.1","2","700","false","true","5","0.2","99","42","67","9","2","7","6"
