,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
25,26.0,0.0,4.0,0.0
26,21.0,18.0,3.0,4.0
27,15.0,10.0,3.0,3.0
28,21.0,0.0,4.0,0.0
29,18.0,4.0,3.0,2.0
30,23.0,1.0,5.0,1.0
31,25.0,0.0,4.0,0.0
32,23.0,6.0,5.0,2.0
33,19.0,18.0,3.0,6.0
34,10.0,0.0,2.0,0.0
35,25.0,8.0,5.0,1.0
36,39.0,10.0,6.0,5.0
37,10.0,26.0,2.0,5.0
38,16.0,14.0,2.0,3.0
39,8.0,43.0,1.0,7.0
40,27.0,17.0,3.0,3.0
41,36.0,19.0,7.0,6.0
42,43.0,26.0,5.0,5.0
43,13.0,12.0,2.0,4.0
44,25.0,15.0,4.0,2.0
45,46.0,28.0,7.0,5.0
46,25.0,13.0,4.0,2.0
47,14.0,18.0,3.0,2.0
48,0.0,6.0,0.0,2.0
49,1.0,7.0,1.0,2.0
50,6.0,8.0,2.0,2.0
51,13.0,61.0,4.0,7.0
52,6.0,10.0,1.0,2.0
53,34.0,11.0,4.0,2.0
54,0.0,12.0,0.0,3.0
55,19.0,10.0,3.0,1.0
56,5.0,3.0,1.0,1.0
57,8.0,14.0,2.0,2.0
58,0.0,4.0,0.0,1.0
59,8.0,31.0,2.0,4.0
60,38.0,29.0,4.0,5.0
61,9.0,32.0,2.0,6.0
62,15.0,15.0,4.0,3.0
63,19.0,43.0,3.0,7.0
64,42.0,47.0,5.0,7.0
65,51.0,52.0,7.0,7.0
66,38.0,38.0,5.0,6.0
67,52.0,52.0,6.0,5.0
68,10.0,54.0,2.0,7.0
69,31.0,41.0,3.0,7.0
70,59.0,47.0,5.0,5.0
71,34.0,34.0,5.0,5.0
72,39.0,8.0,6.0,1.0
73,37.0,5.0,5.0,2.0
74,18.0,12.0,4.0,2.0
75,24.0,0.0,5.0,0.0
76,36.0,0.0,5.0,0.0
77,35.0,16.0,5.0,4.0
78,52.0,0.0,6.0,0.0
79,31.0,4.0,6.0,1.0
80,46.0,31.0,6.0,4.0
81,26.0,11.0,5.0,3.0
82,24.0,0.0,4.0,0.0
83,26.0,26.0,4.0,4.0
84,3.0,0.0,1.0,0.0
85,19.0,0.0,3.0,0.0
86,5.0,9.0,1.0,1.0
87,7.0,0.0,2.0,0.0
88,5.0,0.0,2.0,0.0
89,5.0,9.0,2.0,1.0
90,10.0,0.0,2.0,0.0
91,0.0,4.0,0.0,1.0
92,0.0,0.0,0.0,0.0
93,15.0,0.0,3.0,0.0
