"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"172","30","0.45","0","50","900","5","1","2.5","buffers","0.18","100","47","5","0","8","12","0","11","8","8"
"170","30","0.45","0","50","850","5","1","2.5","corridors","0.18","100","80","6","15","18","8","0","8","17","14"
"171","30","0.45","0","50","900","5","1","2.5","buffers","0.18","100","67","6","17","5","8","11","16","0","10"
"173","30","0.45","0","50","900","5","1","2.5","buffers","0.18","100","69","7","7","5","13","13","20","9","2"
"174","30","0.45","0","50","900","5","1","2.5","buffers","0.18","100","47","7","13","2","7","8","5","3","9"
"175","30","0.45","0","50","900","5","1","2.5","buffers","0.18","100","62","7","12","3","9","5","19","11","3"
"179","30","0.45","0","50","900","5","1","2.5","corridors","0.18","100","65","6","18","13","3","4","20","7","0"
"177","30","0.45","0","50","900","5","1","2.5","corridors","0.18","100","53","7","7","5","10","7","9","9","6"
"183","30","0.45","0","50","950","5","1","2.5","buffers","0.18","100","65","6","13","6","9","0","3","15","19"
"178","30","0.45","0","50","900","5","1","2.5","corridors","0.18","100","53","7","3","9","9","10","7","4","11"
"176","30","0.45","0","50","900","5","1","2.5","corridors","0.18","100","80","7","4","12","17","7","20","7","13"
"184","30","0.45","0","50","950","5","1","2.5","buffers","0.18","100","68","7","15","9","9","2","6","14","13"
"180","30","0.45","0","50","900","5","1","2.5","corridors","0.18","100","60","7","3","15","9","8","7","13","5"
"182","30","0.45","0","50","950","5","1","2.5","buffers","0.18","100","49","7","2","8","4","18","3","9","5"
"185","30","0.45","0","50","950","5","1","2.5","buffers","0.18","100","65","6","4","17","10","10","11","13","0"
"181","30","0.45","0","50","950","5","1","2.5","buffers","0.18","100","51","7","3","7","9","5","13","7","7"
"186","30","0.45","0","50","950","5","1","2.5","corridors","0.18","100","23","4","0","10","4","2","0","0","7"
"192","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","29","5","0","4","9","5","1","10","0"
"190","30","0.45","0","50","950","5","1","2.5","corridors","0.18","100","65","7","5","11","13","8","8","10","10"
"187","30","0.45","0","50","950","5","1","2.5","corridors","0.18","100","53","5","19","11","8","0","0","10","5"
"191","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","32","3","0","6","0","0","7","0","19"
"193","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","62","7","15","13","6","13","2","3","10"
"188","30","0.45","0","50","950","5","1","2.5","corridors","0.18","100","41","5","5","17","2","0","5","12","0"
"189","30","0.45","0","50","950","5","1","2.5","corridors","0.18","100","58","7","3","16","9","3","3","11","13"
"196","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","31","6","1","17","3","0","1","3","6"
"194","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","51","7","6","7","10","5","6","5","12"
"195","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","28","6","6","3","4","3","3","0","9"
"203","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","20","2","0","3","0","0","0","17","0"
"198","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","59","7","4","16","5","8","7","9","10"
"197","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","54","5","0","14","12","3","0","12","13"
"201","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","60","5","0","0","8","10","15","14","13"
"206","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","100","16","2","0","0","0","0","0","11","5"
"207","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","100","8","1","0","8","0","0","0","0","0"
"208","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","100","4","1","0","0","0","0","4","0","0"
"209","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","73","0","0","0","0","0","0","0","0","0"
"205","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","31","3","0","10","9","0","0","0","12"
"204","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","34","4","14","6","12","0","2","0","0"
"202","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","29","3","0","14","6","9","0","0","0"
"200","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","53","6","3","14","14","0","5","11","6"
"199","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","77","7","8","18","8","8","21","5","9"
"210","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","100","20","3","0","8","0","0","0","1","11"
"211","30","0.45","0.02","50","100","5","1","2.5","buffers","0.18","100","15","3","0","0","4","8","3","0","0"
"216","30","0.45","0.02","50","100","5","1","2.5","corridors","0.18","100","14","2","0","0","0","0","0","5","9"
"213","30","0.45","0.02","50","100","5","1","2.5","buffers","0.18","100","29","4","4","5","10","10","0","0","0"
"220","30","0.45","0.02","50","100","5","1","2.5","corridors","0.18","100","12","1","0","0","0","0","12","0","0"
"217","30","0.45","0.02","50","100","5","1","2.5","corridors","0.18","100","32","3","0","0","8","0","13","11","0"
"218","30","0.45","0.02","50","100","5","1","2.5","corridors","0.18","100","13","2","7","0","0","0","0","6","0"
"219","30","0.45","0.02","50","100","5","1","2.5","corridors","0.18","100","17","3","0","0","7","0","0","3","7"
